art	are
in no wise any more bear fruit	not bear fruit any more
wherefore even if they should beget	so even if they should father
speaking false professions	making false excuses
Wherefore have ye passed over ungodliness	Why have you passed over ungodliness
vine with goodly branches	luxuriant vine
compassed me with falsehood	surrounded me with lies
will he recompense	he will recompense
keep thou mercy	keep mercy
shall they be	they will be
let him even save thee	let him save you
woman in travail	woman in labor
Forasmuch as	Although
Take with you words	Take words with you
# Joel	
is come	has come
#Amos	
smitten upon	struck
in no wise	certainly not
he have taken	he has taken
Arise ye	Arise
was gone	had gone
Why snorest thou	Why do you snore
are gone	have gone
shall a parable	a parable will
Now have many nations	Now many nations have
shall he appoint	he will appoint
wherein have	how have
I am become	I have become
the godly is perished	the godly has perished
withstand in	stand against
be shaken	are shaken
Prepare thee a portion	Prepare yourself a portion
Draw thee	Draw yourself
Wherefore hast thou shewn me	Why have you shown me
Wherefore, behold	For behold
proceed of himself	proceed from himself
Then shall he	Then he will
wherefore do ye	why do you
therefore shall his heart	therefore his heart will
Therefore will he	Therefore he will
wherefore dost thou	why do you
Thou didst cut asunder	You cut open
thou dost cause	you cause
be hid	be hidden
But do ye fear me	Only fear me
four and twentieth	twenty-fourth
#But do ye receive	But you, receive
Lea	Leah
Jephthae	Jephthah
artificers	craftsmen
by reason	because
Ho, ho, flee	Come! Come! Flee
has he sent	he has sent
after the glory	for glory
is not	isn't
plummet of tin	plumb line
hither	here
Libanus	Lebanon
Chananites	Canaanites
cleave asunder	split in two
apparel	clothing
seethe	boil
Chananite	Canaanite
wherein	how
ye the priests	you priests
intreat	entreat
suppliants	petitioners
Elias	Elijah
tendest	tend
causest	cause
dwellest	dwell
Esaias	Isaiah
lovest	love
cities be deserted	cities are deserted	English subjunctive is slowly disappearing in cases like this
Somoron	Samaria
either to prefer	to decide on
thither	there
there shall no fear come	no fear shall come
whatsoever	whatever
Zabulon	Zebulun
Nephthalim	Naphtali
Madiam	Midian
from henceforth	from now on
smitten	struck
Manasses	Manasseh
sent forth	sent
Gentiles	nations
destroy utterly	utterly destroy
burst asunder	broken apart
harlot	prostitute
well-favoured	attractive
shewn	shown
fishes	fish
slaying	killing
flag	reed
flags	reeds
sackcloths	sackcloth
iniquity	wickedness
propitiate	make atonement to
propitiation	atonement
jealous	zealous
jealousy	zeal
will are shaken	will be shaken
maid	maiden
serpent	snake
set at nought	despise
countries	lands
Æmath	Hamath
Bersabee	Beersheba
will are	will be
serpents	snakes
utterly	completely
mire	mud
all the ways	all the streets
fornication	prostitution
